Name,,,long,lat,,,
103,Fatehpuri,ISBT / Kashmiri Gate,77.223935,28.660643,77.229,28.666,16
103,ISBT / Kashmiri Gate,Old Secretariat,77.229,28.666,77.222,28.683,
103,Old Secretariat,G.T.B. Nagar,77.222,28.683,77.20600216,28.69821532,
103,G.T.B. Nagar,Model Town II,77.20600216,28.69821532,77.19,28.704,
103,Model Town II,Adarsh Nagar,77.19,28.704,77.170962,28.71575082,
103,Adarsh Nagar,G.T.K. Depot,77.170962,28.71575082,77.15831988,28.73153613,
103,G.T.K. Depot,Badli G.T. Road,77.15831988,28.73153613,77.15290002,28.74164245,
103,Badli G.T. Road,Nangli Poonam,77.15290002,28.74164245,77.143,28.772,
103,Nangli Poonam,Budh Pur,77.143,28.772,77.14115515,28.78162018,
103,Budh Pur,Ali Pur,77.14115515,28.78162018,77.1395072,28.79635206,
103,Ali Pur,Ali Pur Garhi,77.1395072,28.79635206,77.12772665,28.7980207,
103,Ali Pur Garhi,Minda Farm,77.12772665,28.7980207,77.12230457,28.79771033,
103,Minda Farm,Shah Pur Garhi,77.12230457,28.79771033,77.102,28.817,
103,Shah Pur Garhi,Bhor Garh,77.102,28.817,77.09461501,28.82929758,
103,Bhor Garh,Narela Terminal,77.09461501,28.82929758,77.088,28.852,
